artist,track,spotify_url
Harry Styles,As It Was,4Dvkj6JhhA12EX05fT7y2e
Oliver Tree,Miss You - Bonus Track,1ypwNj8eK2qAMDEs4EiIIX
Alonzo,TOUT VA BIEN (feat. Ninho & Naps),6OZwia8loN0aPS0vTvsBjR
Soolking,Balader,6PrB4KpvuoYWtwjPC5a44S
Jul,Namek,27axiMYaZu77nF45ogoTTy
SZA,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL
Dertay,Ma Came,3x6n0IkVMIqTl7EE2j3R2g
Aime Simone,Shining Light,3PqAQRlPl0yOnqqcB6Y5Cw
RAYE,Escapism.,5mHdCZtVyb4DcJw8799hZp
Slimane,Des milliers de je t'aime,1NwjfTd5fsvRFtYGERuKzA
ZEG P,FADE UP,4ZpIuzx91EAPK3VimONbfB
mademoiselle lou,Zénith (feat. Booba),6z41QMdRgnRTAUdcQ0pxyH
Tayc,Carry Me,3vxS3k5siCY0mFfGGTx4pk
Lomepal,À peu près,4VpmtsVKIRfNlmrtaEnrQi
Damso,Coeur De Pirate,2q2tG7xR37PNyqrXqooemZ
SCH,Autobahn,03o8WSqd2K5rkGvn9IsLy2
Gazo,RAPPEL,48BdA5qBxXVoe59xvu0bwc
Ninho,Jefe,6HTJgY7iWWlVLSDHsfHePf
Tiakola,Gasolina (feat. Rsko),6kwmp0U8M1tPvgPHqvbwsr
PEDRO SAMPAIO,"DANÇARINA (feat. Nicky Jam, MC Pedrinho) - Remix",5QQKWOwPjG9vcDBTQ5Hv5Q
Djadja & Dinaz,Dans le Réseau,0X5zETsfr8nGAVABRcD4o4
OBOY,Louis V,0PuQvRclIp1bN8et2lVA4d
Hornet La Frappe,Gasolina (feat. Ninho),6CyIkPh5mRkJg7T5xXynQ8
Farruko,Pepas,5fwSHlTEWpluwOM0Sxnh5k
Bolémvn,Ça canarde,7r9KkTYiFYMuNcGR4aySxh
Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4
Tiakola,Étincelle - Maradona,2PZTDaakPcvII5QJJP7SDO
CKay,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,4gvrJnKCKIPiacNsWVQwEU
Sasso,Elle veut,6YC6zgdJog4gw0y2IyfRmR
OBOY,Ysl,49fISKy929BYDg6Daogw17
OBOY,Cruel,1q3UKwsvTPfF44xQJYC0sg
Elton John,Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz
Booba,VARIANT,3g7QMyHeUYoNdFS5cOIJFY
The Weeknd,Take My Breath,2vgUijXOTRMnWXDtvgMp2b
OBOY,Cosmos,3UHp1ZNVPKAIZ3Dvjd7bvN
Kalash,Tu le sais,1frmYvoVtyFlGypiapnkrX
