Artiste,Titre
NAZA FEAT. NISKA,JOLI BÉBÉ
OLIVIA RODRIGO,DRIVERS LICENSE
CJ,WHOOPTY
24KGOLDN FEAT. IANN DIOR,MOOD
BENAB,ANDALE
DADJU,DIEU MERCI
ROBIN SCHULZ,ALL WE GOT (FEAT. KIDDO)
WEJDENE,RÉFLÉCHIR
NIRO & PLK,FILS 2
AYA NAKAMURA,PLUS JAMAIS (FEAT. STORMZY)
UZI,COEUR ABÎMÉ
MASTER KG,JERUSALEMA (FEAT. NOMCEBO ZIKODE)
KORE X LACRIM,MANGO
PLK,PILOTE
INTERNET MONEY,LEMONADE
MAÎTRE GIMS,JUSQU'ICI TOUT VA BIEN
UZI,BELLA
KOBA LAD,COFFRE PLEIN
SOFIANE,NOUVEAUX PARRAINS
1PLIKÉ140,LOPSA STORY
HATIK,MER
POP SMOKE,WHAT YOU KNOW BOUT LOVE
DAMSO,911
GRAND CORPS MALADE,MAIS JE T'AIME
BENAB,MALADIE
SIA,COURAGE TO CHANGE
SCH,"LA VIE DU BINKS (FEAT. HORNET LA FRAPPE, LETO, SAD..."
JUL,FOLIE
ZOLA,BRO BRO
LADY GAGA & ARIANA GRANDE,RAIN ON ME
MOHA LA SQUALE,BASTA NA BASTA
KAZA,DANS TES YEUX
RK,SOS
SOSO MANESS FEAT. DA UZI,ZODIAQUE
JUL,FAIT D'OR
BOSH,SOLITAIRE
PLK,UN PEU DE HAINE
KOBA LAD,MARIE
PLK,PROBLÈMES
CHILY,SAN PELLEGRINO
NISKA FEAT. NINHO,MÉCHANT
Y2K & BBNO$,LALALA
LEFA FEAT. VALD,BITCH
AYA NAKAMURA,SOLDAT
DJ SNAKE & J. BALVIN FEAT...,LOCO CONTIGO
VEGEDREAM FEAT. NINHO,ELLE E2T BONNE SA MÈRE
LOMEPAL,FLASH
RÉMY,ALIBI
DADJU,CONFESSIONS
ANGÈLE,PERDUS
SELENA GOMEZ,LOSE YOU TO LOVE ME
ANGÈLE,FLOU
LETO FEAT. NINHO,TES PARENTS
TRAVIS SCOTT,HIGHEST IN THE ROOM
VITAA & SLIMANE,ÇA VA ÇA VIENT
IMAGINE DRAGONS,BIRDS
SIA,UNSTOPPABLE
LOMEPAL,REGARDE-MOI
ZOLA,COEUR DE ICE
DJADJA & DINAZ,CAPITAINE
GAZO,NO LÈCHE
ZOLA,TOUTE LA JOURNÉE
GIANNI,ACOLYTE
ZOLA,ENVIE7VIE
ZIAK,PISTOL & ZAMAL
MYLÈNE FARMER,RALLUMER LES ÉTOILES
COI LERAY,PLAYERS
LIZZO,2 BE LOVED (AM I READY)
NINHO,LA VIE QU ON MENE
ZKR,TU VOIS COMMENT ?
"LANDY, NISKA",MILLIONS D'EUROS
DJADJA & DINAZ,BOOSKA 77
LANDY,ENFANTS TERRIBLES
