track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Π. VANTABLACK,Damso,spotify:track:5BItsXmozLE4dfbcqeN8P2,0.536,0.642,11,-8.854,0,0.575,0.179,7.93e-06,0.349,0.314,77.041,153707,4
Je t’aime de ouf,Wejdene,spotify:track:76X9R88fhwR1lTXfqdqRKZ,0.623,0.34600000000000003,2,-9.881,0,0.0682,0.8959999999999999,0.0,0.116,0.185,84.62100000000002,169186,5
Ρ. DOSE LIVE,Damso,spotify:track:6cr1zTV67THjgeNE31zPoI,0.7979999999999999,0.5329999999999999,6,-11.227,1,0.0744,0.711,8.62e-06,0.116,0.92,116.075,160060,4
Τ. CHIALER LIVE,Damso,spotify:track:6xWVBK2PyZQjljZrxYut8Y,0.5489999999999999,0.34,7,-11.977,0,0.0378,0.804,1.05e-06,0.106,0.191,127.21,167344,4
Φ. THEVIE RADIO,Damso,spotify:track:74eqdbq9P3k57jPXHXUJWC,0.495,0.458,6,-11.759,0,0.228,0.119,2.91e-06,0.254,0.337,131.825,234528,4
Ψ. PASSION,Damso,spotify:track:3A6t13W9Xy1gPgnmwapiD6,0.602,0.493,11,-10.983,0,0.379,0.175,7.269999999999999e-05,0.129,0.601,144.066,277108,4
Legende Vivante,Lorenzo,spotify:track:4sfaf8BPwjoR0nfY4KXnu2,0.74,0.797,11,-6.1560000000000015,1,0.388,0.28300000000000003,0.0,0.13699999999999998,0.373,102.491,139920,4
Ο. OG,Damso,spotify:track:6sP2DMFYO41rrDSZyiHdLk,0.555,0.438,7,-10.4,1,0.0525,0.752,0.463,0.102,0.0747,122.288,100584,4
Rasputin,Boney M.,spotify:track:5jkFvD4UJrmdoezzT1FRoP,0.639,0.893,9,-6.509,1,0.036000000000000004,0.289,0.008159999999999999,0.222,0.966,126.143,351573,4
Astronaut In The Ocean - Alok Remix,Masked Wolf,spotify:track:1yX6sh2TkrT5hsXodo7aS6,0.53,0.82,4,-4.936,0,0.0438,0.154,2.71e-06,0.14,0.355,171.933,128372,4
Ω. VIVRE UN PEU,Damso,spotify:track:5G58n46ZttjnrjtXpwU24Y,0.411,0.517,9,-10.265,1,0.301,0.168,0.0,0.5820000000000001,0.231,75.122,235234,5
Χ. ZWAAR,Damso,spotify:track:1mpWpeT7hpENHBq465E9O8,0.594,0.619,11,-8.779,0,0.374,0.12,9.13e-06,0.174,0.337,140.082,201536,4
Girls Like Us,Zoe Wees,spotify:track:5SFXOMJJ334Wn2PwBHeRZN,0.444,0.648,1,-4.955,1,0.0476,0.28800000000000003,0.0,0.059,0.171,125.706,189000,5
